11750,Scientific Research Methodology
11751,Research Management and Innovation
11752,Automatic Learning
11753,Computational Intelligence
11760,Computer Vision and 3-D Reconstruction
11761,Image and Video Analysis
11756,Storage and Data Recovery
11757,Complex Networks
11768,Distributed Embedded Systems and Domotics
11769,System Connectivity and Integration in IoT
11764,Mobile Robot Sensorization and Control
11765,Navigation and Environment Modelling in Mobile Robotics
